"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.90281000000E+008, +2.21916049389E+000, +0.00000000000E+000
+1.92280800000E+008, +2.81414004918E+000, +0.00000000000E+000
+1.94280600000E+008, +3.48117310187E+000, +0.00000000000E+000
+1.96280400000E+008, +4.19581638268E+000, +0.00000000000E+000
+1.98280200000E+008, +4.91730908563E+000, +0.00000000000E+000
+2.00280000000E+008, +5.64987555145E+000, +0.00000000000E+000
+2.02279800000E+008, +6.36443846824E+000, +0.00000000000E+000
+2.04279600000E+008, +7.03395622847E+000, +0.00000000000E+000
+2.06279400000E+008, +7.61414108201E+000, +0.00000000000E+000
+2.08279200000E+008, +8.08946382515E+000, +0.00000000000E+000
+2.10279000000E+008, +8.48499585897E+000, +0.00000000000E+000
+2.12278800000E+008, +8.81803228227E+000, +0.00000000000E+000
+2.14278600000E+008, +9.12388839891E+000, +0.00000000000E+000
+2.16278400000E+008, +9.37529121068E+000, +0.00000000000E+000
+2.18278200000E+008, +9.61813121118E+000, +0.00000000000E+000
+2.20278000000E+008, +9.80703318233E+000, +0.00000000000E+000
+2.22277800000E+008, +9.94048444062E+000, +0.00000000000E+000
+2.24277600000E+008, +1.00244794886E+001, +0.00000000000E+000
+2.26277400000E+008, +1.00978534944E+001, +0.00000000000E+000
+2.28277200000E+008, +1.01085374755E+001, +0.00000000000E+000
+2.30277000000E+008, +1.00797015355E+001, +0.00000000000E+000
+2.32276800000E+008, +1.00638661192E+001, +0.00000000000E+000
+2.34276600000E+008, +1.00144789527E+001, +0.00000000000E+000
+2.36276400000E+008, +9.99700672328E+000, +0.00000000000E+000
+2.38276200000E+008, +9.96667867485E+000, +0.00000000000E+000
+2.40276000000E+008, +9.94436128060E+000, +0.00000000000E+000
+2.42275800000E+008, +9.94266248110E+000, +0.00000000000E+000
+2.44275600000E+008, +9.91573211776E+000, +0.00000000000E+000
+2.46275400000E+008, +9.89497035173E+000, +0.00000000000E+000
+2.48275200000E+008, +9.85329735283E+000, +0.00000000000E+000
+2.50275000000E+008, +9.81622447544E+000, +0.00000000000E+000
+2.52274800000E+008, +9.77013166298E+000, +0.00000000000E+000
+2.54274600000E+008, +9.73098262907E+000, +0.00000000000E+000
+2.56274400000E+008, +9.71079993432E+000, +0.00000000000E+000
+2.58274200000E+008, +9.71716046731E+000, +0.00000000000E+000
+2.60274000000E+008, +9.72805008091E+000, +0.00000000000E+000
+2.62273800000E+008, +9.75499216489E+000, +0.00000000000E+000
+2.64273600000E+008, +9.79138059375E+000, +0.00000000000E+000
+2.66273400000E+008, +9.81448501087E+000, +0.00000000000E+000
+2.68273200000E+008, +9.85792401282E+000, +0.00000000000E+000
+2.70273000000E+008, +9.92381993712E+000, +0.00000000000E+000
+2.72272800000E+008, +9.97274983440E+000, +0.00000000000E+000
+2.74272600000E+008, +1.00280700369E+001, +0.00000000000E+000
+2.76272400000E+008, +1.00694191785E+001, +0.00000000000E+000
+2.78272200000E+008, +1.01057134373E+001, +0.00000000000E+000
+2.80272000000E+008, +1.01295382866E+001, +0.00000000000E+000
+2.82271800000E+008, +1.01664422509E+001, +0.00000000000E+000
+2.84271600000E+008, +1.01591798682E+001, +0.00000000000E+000
+2.86271400000E+008, +1.01606764125E+001, +0.00000000000E+000
+2.88271200000E+008, +1.01563654917E+001, +0.00000000000E+000
+2.90271000000E+008, +1.01426903461E+001, +0.00000000000E+000
+2.92270800000E+008, +1.01458092022E+001, +0.00000000000E+000
+2.94270600000E+008, +1.01555290246E+001, +0.00000000000E+000
+2.96270400000E+008, +1.01768169175E+001, +0.00000000000E+000
+2.98270200000E+008, +1.01698266170E+001, +0.00000000000E+000
+3.00270000000E+008, +1.01946776892E+001, +0.00000000000E+000
+3.02269800000E+008, +1.02056536997E+001, +0.00000000000E+000
+3.04269600000E+008, +1.02332650622E+001, +0.00000000000E+000
+3.06269400000E+008, +1.02538373877E+001, +0.00000000000E+000
+3.08269200000E+008, +1.02809969770E+001, +0.00000000000E+000
+3.10269000000E+008, +1.02893698435E+001, +0.00000000000E+000
+3.12268800000E+008, +1.02936044251E+001, +0.00000000000E+000
+3.14268600000E+008, +1.03115738396E+001, +0.00000000000E+000
+3.16268400000E+008, +1.02914892341E+001, +0.00000000000E+000
+3.18268200000E+008, +1.02790106005E+001, +0.00000000000E+000
+3.20268000000E+008, +1.02483670984E+001, +0.00000000000E+000
+3.22267800000E+008, +1.02354721376E+001, +0.00000000000E+000
+3.24267600000E+008, +1.02188137697E+001, +0.00000000000E+000
+3.26267400000E+008, +1.01855680912E+001, +0.00000000000E+000
+3.28267200000E+008, +1.01589693144E+001, +0.00000000000E+000
+3.30267000000E+008, +1.01381254626E+001, +0.00000000000E+000
+3.32266800000E+008, +1.00557087712E+001, +0.00000000000E+000
+3.34266600000E+008, +9.96697173284E+000, +0.00000000000E+000
+3.36266400000E+008, +9.90276009219E+000, +0.00000000000E+000
+3.38266200000E+008, +9.85123104443E+000, +0.00000000000E+000
+3.40266000000E+008, +9.79927054818E+000, +0.00000000000E+000
+3.42265800000E+008, +9.76127914355E+000, +0.00000000000E+000
+3.44265600000E+008, +9.73037974409E+000, +0.00000000000E+000
+3.46265400000E+008, +9.69909677677E+000, +0.00000000000E+000
+3.48265200000E+008, +9.65362883657E+000, +0.00000000000E+000
+3.50265000000E+008, +9.62910134784E+000, +0.00000000000E+000
+3.52264800000E+008, +9.61071067849E+000, +0.00000000000E+000
+3.54264600000E+008, +9.57889083485E+000, +0.00000000000E+000
+3.56264400000E+008, +9.55518835481E+000, +0.00000000000E+000
+3.58264200000E+008, +9.53274531511E+000, +0.00000000000E+000
+3.60264000000E+008, +9.51721219447E+000, +0.00000000000E+000
+3.62263800000E+008, +9.50908989068E+000, +0.00000000000E+000
+3.64263600000E+008, +9.49846191642E+000, +0.00000000000E+000
+3.66263400000E+008, +9.48946817226E+000, +0.00000000000E+000
+3.68263200000E+008, +9.46967186452E+000, +0.00000000000E+000
+3.70263000000E+008, +9.46203607806E+000, +0.00000000000E+000
+3.72262800000E+008, +9.45287314785E+000, +0.00000000000E+000
+3.74262600000E+008, +9.43205041690E+000, +0.00000000000E+000
+3.76262400000E+008, +9.41694551540E+000, +0.00000000000E+000
+3.78262200000E+008, +9.38808308393E+000, +0.00000000000E+000
+3.80262000000E+008, +9.37051579928E+000, +0.00000000000E+000
+3.82261800000E+008, +9.33898866348E+000, +0.00000000000E+000
+3.84261600000E+008, +9.29265965107E+000, +0.00000000000E+000
+3.86261400000E+008, +9.25341124330E+000, +0.00000000000E+000
+3.88261200000E+008, +9.19471213958E+000, +0.00000000000E+000
+3.90261000000E+008, +9.14563975302E+000, +0.00000000000E+000
+3.92260800000E+008, +9.09604281348E+000, +0.00000000000E+000
